MemberId,TotalLobbiesOpened,TotalPlayerCount,TotalDataUsageMB,TotalPlayTimeMinutes,AvgPlayTimeMinutes,DaysActive,UniqueIPs,AvgLobbiesPerDay,AvgPlayersPerDay,AvgDataPerDayMB
mem_clupqhr9f03t20sq73ffqasdy1b4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluq76o1a01ai0sred8s5dmr8ae8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clurhemu10bz10sre2kl06e0m02c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clushpjig01wq0sqm7pak1851dd7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clusnyfmd00010sqm9k799hhy41a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluvc2rvf01bd0sol1y0t42sx9fd,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluvt9sct04zj0snjautr81q9d90,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluwiyc8302f80tq4dtzndnrw9c2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluwmshol0av30snjehzd8cji052,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluy6v0n20y6j0soz1bqz0rsneb9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clv6hhkt4006w0tq2hrqi5tq7eda,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clv6vi4um0qx30srwb29t1mysa1b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clv8jf0l315xb0to9h9y82ik01a6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clva925x81ivw0srw8nbw97uo8b9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvb86rd71szt0srw006v868p40f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvggbxp60b730snf9hpg4hr2e20,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clviju96e0e2c0so6dl9p4jmq8f8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvj9gfer0d7g0sovahgi7h5p8a3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvjf7lem0xqp0snfgpfoh1wj2d3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvkwh26p02si0rovh5p2g6t082a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvl35cd40hfu0to6a81v5r5xcfc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvnoqiso007g0sqf4n7iflpod45,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvnraq4j00s40smx486744pk954,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvquwqxe001x0smx178mgvz9638,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvqzhx5l01cs0smx894kfes621d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvsqlzs000630sow0ukkb6221c6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvubysn2004j0rnedpdycs50077,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvwvfn1v0yki0soo7uv2c37rad2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvxzh9iw0bbk0sp728mdb0ogf8a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvzenf6k04gi0so90j9z9ewo5ce,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clvzmgzqk06zi0so985b9bcv6de1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clw3pre3v02680rodhuss0b868f6,0,5,0.0788,0.17,0.02,30,4,0.00,0.17,0.0026
mem_clw836aos000s0tpt9xgv4sd13f6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clw8evr1u03c80tonab8tfdlj5d1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clw95736a054t0ssycwei27884cf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwfwoltf0bc90ste43ztcdgq41a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwgjra6d008p0tpxglfb72x472d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwgrt2d2032u0sml78i8fo1xd1e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwh87xaq08590sml4pwccfxud1b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwjtb19405z40spx31lj68zm37e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwm869pr011g0tml0aft71c2b86,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwm9g9wc03c70spx6ujh7op5d24,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwroidvm0buh0ssohl5sdpiw539,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwrwdtfw009f0srxhvg9gtfcb55,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwunsu9902vc0rowgn9zbbip403,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwuzzkdc06q90so2gsat7wfp28d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clwvx0dtm0ca60sp83lyt3bue343,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clww027on00zm0so26slah6csdeb,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clx0l73rt02aq0tl79yxcf8y7691,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clx2b6thr02l70rp836yohzidad5,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clx2yndza0km10sn67vt3fv67c1e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clx3urfm904d60toof5111j75995,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clx6ozq8r0c4l0tpjfcl4ca235ba,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clx8ll9w603ak0sql6bo9975a020,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxfu0vrq00qh0srdeyk0e491caa,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxo86b6w07ok0sni03fs5qvk90a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxokiihq09h20tnk6w40ezln464,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxolwae4034c0srsga32g5ood79,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxr0x9i20c250snibfr4eoh1a58,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxraekne0p070sp2h7q020af54a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxraq3r30oos0tnkd0w6geruf4b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxrpve2v0r1u0tnk97evbdhe8be,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxs112xe04kb0sni06t54rng773,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxtygwrt0kti0srs7vjl34i3629,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxuhiime0njf0snici86g6daa36,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxuxypl10tnq0srsdhwuhqp6ff9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clxy09n2101nd0sn919ow4itr502,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly0c1b7g0a8h0smxchj365mued1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly0fkodu0c8q0sn91kprcob4b72,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly27438p0ial0rs3evf45jrj906,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly2nh2am01me0ss3hsng2yalfd6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly344wdm05d00ss32smmevj1e36,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly3ebyf208ch0ss37mnce9xv245,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly4n7kes085s0smx2u958egb8ef,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly5ror851c4t0sn956k00ob4323,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly6xmx1i0p330ss3fo49czr0c78,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cly7g798n03x80tn94vd0c1u965a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clyg2c35509440stn6pbtdwhte0f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clyis7kwh0vfr0sss7j9sfv24bc1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clyjy35yy02en0su5f7b8302z7c1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clykhj1og028v0su5fl2xh8kaa43,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clyky71zj05rj0sss85dsgf4ma17,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clynb6srj01fk0stn1r7s7zsy14c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clynwzbxv0l4d0sss71z58wqm1e3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clynyvocm0lcf0sss4h04av9zc99,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clytyyi4y014z0sss1dy8cbbo3c0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clyv1yb8500gz0tsh0ez2g5bdba9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clyvzb46q03080suj1pxm3ir83c8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clz1pu90a00kj0snqdq307no72c7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clz2vcivh00700so8bdepebo964b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clz5qa4kl0etd0so86m3i4qh7e92,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clz8u7tng04lo0snfhekxbo9oa05,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzakqp4t02m20sm4glma2wd3e31,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clze2hjba0hao0snr948d18t959c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clze5vq5y0i0w0snr17f76w3rd5a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzerc4y103ls0sp997t0am795b9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzhfic2q00xf0ssphubfgr8u574,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzjoqz610lg10sqz3gp8fefp801,0,0,0.0000,0.00,0.00,30,1,0.00,0.00,0.0000
mem_clzltfa3k04r10spb0sro2hdocc2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzmqj69t0aee0spbglf0c3v96e2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzrpjb9l08e00sok8fkj1tg82f9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzsucv4x0i030sokaxo1ej3d29b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzuqlkmv001z0sqbesja2op786d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clzvgqlic0jd10sp0h9p5avx4a72,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm001zgx202r10tqbdxs04vxfd60,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm03n6h8001zl0sua4i3a2k3y562,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0628d5e0cnn0sqpbkk367ob652,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm07tsx3706v90sqp1mrq0cqvde8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0dw694z08ol0rplffj26k7300b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0g0wuin0aww0snd3ulj0wuf9ad,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0gn7q6z0oia0smmgsn98ujfa5f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0guff1k0h450snd8cts5q8l378,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0i8dz6n03jo0sph0j3t337j13c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0ki4bnv0fdx0snb3uy0g7pq303,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0sx51x306vz0sqb8l851w635aa,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0trkulw0bs00sqbekyjel8b1de,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0xp72ij07js0sv76ddybvg0d83,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm0xxa24609kr0sxafcyo3z4o9ca,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1016qw90vk50sxa9whv5oy394f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm12s36sh0cdl0ssw3pi5bqy0b46,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm174byyn0evk0ssd33po1olq913,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1chpopl0aug0smecjnp7ciw353,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1f5cz1j10eg0snl4asb4yeje43,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1nku0so01kt0st140bs40v6b50,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1nzyknc05gx0st193bbgs0i43b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1ppvp481fww0sv95uv16t1n316,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1prs3sd00870sru40g66wsu9f9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1s6lcvm0e9r0snuasqyf3mde0b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1wrj2fy0ab80snj6zik7dio27a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm1xih4yq009w0sna7f1h55ozad2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm25ywgxy04410roacmca82yr0c5,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm25zg1m901o90srp3ls375nk99c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm28at4s600aw0som27q9cbrrf5c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm28rwjla0r270roahenifbb63c2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2b07xro04lh0spb5l8wbpkgd81,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2hq9lxj02j50ss17o8u1343d20,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2jciwix0m4s0ss1e376gu4ybfa,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2rlyyda00090sqrdiqfdhpk369,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2tms4b70dak0rqr8xix95ddffa,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2un83e100hm0sp49gx2dudtb8d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2wrdl6m0ca70rs89dbnhrz5cc2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm2zxr6ha025g0sp9bix75ky6ea5,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm30jjk3300z90tp9coooc0ro494,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm31l405v00qn0rp9h3ld4sc491f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm33mwd0y03kd0spe43mh1chd7ed,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3bhzdsa0mro0soneo2b2wtsaf1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3c8ke8w0u490snvhkn62g1y937,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3f0p8ak0i580sqm3tde1per8e9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3iibvf500p20sst6wmv5beh198,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3knwuvh05es0sq18uu5giuk177,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3kpz8y0003y0sst42z8354fc97,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3njgke408wv0sq19iqj76zk2b7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3q60mwj0ge50sphcovk2ago207,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3qbirji0ibf0sph3f50a8w415a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3qjh1ys07sp0rs91zb5boft530,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3qq35ve0auw0ssm6s5r9ozwdd7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3r9iujx0fwy0rs915orbkli631,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3t8bypt12kh0rs9eh4x4i3ec9b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3topbk0018p0ssx8anm0zdb948,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3y59zkn0shh0sra5bffhjkz148,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3zcbcqw1ckk0sri0ce42bnv48b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm3zg3xm31dgp0sre33j4b1ob7d3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm40iqv4o06pf0sr845ik7gdr8af,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm412bhtk0cw00sr8dx8bf7t43f8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm41g6ho30aw80rri67ni2fs2060,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm41i9vt70g480sreavwq8bn3744,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm41im8xb0g8q0sref6h56o4nd02,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm44fyty21fy70sre84u38uvv992,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm46jcjph07a90rr88kg17zvjec6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm48p1q1i123z0sri1ssc9n0wf45,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4bvfp6m0loo0sri3rfwa7k3d47,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4ebj44g129o0rreaieocmrl40f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4gdohwa0kw40sra88bdd1kjc11,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4hee4u60n9x0sri4wsp89f0ac8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4izoze803na0ss02jhf83bzf22,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4kwnsbw0lss0srpeqoe126hf8d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4odm6d50j1e0srp3do2ah88ac2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4q8f0iw0zhf0srp5iik2puz68b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4rkd7g21ftp0srpfgh9cphz2de,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4rumsin0r7a0sv22k9k5a9g2b1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4ugl5q90jja0su1fyiq1d5rdf0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4xlvq7r0pe40tul5dhm53w4195,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4zaz1qf0a2c0tu1hwxj538v161,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm4zek7d50akv0tu16tpl22dv436,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm517s7ca02wl0svhd9lpbrksf6f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm51duopl04yb0svhbs221vfj4a0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm51xpf5w0dt20tu1ampm9jyd83c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm523q50l08540tul5dqt4en10c5,0,4,0.0050,0.12,0.02,30,4,0.00,0.13,0.0002
mem_cm53rmluv05s20sul8dgo2jr3636,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm55te9ch05qv0svh0poq707vccc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm55yhox10nmz0su131gg6bew0b8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm57ww8w303x00ro76tpt4gxvf55,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm59ymf120g690st7gja1g60m629,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5ap3okz05230ss80mw04hhg369,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5ft3hq403xc0st7c06segwq291,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5g3d12h01cj0srtazt6a7in473,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5he9lfn0rli0st46iz3e8wy5d3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5hoka870vag0st7e87qd84vac1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5imo6eo02hq0smff2m6gohi550,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5jpf05g02g50rmf9sgc9u238ae,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5k41y0707pw0rly7x9phxlc939,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5mcujzf0e220sp0cj5dgvql9e0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5shwq4e07oa0spudve3cb1e822,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5wls6qw00ik0squ9wwf33g71af,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm5ymvgct057e0sll7yqzcya55eb,0,1,0.0000,0.12,0.02,30,4,0.00,0.03,0.0000
mem_cm60n2px000050smj9a0ffvgo169,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm62756k906n20smk1lhac5rt170,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm64kw0n1108v0smk7su1eivt207,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6e5d3sp0t9h0ste685t13z4a8e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6ix3pxa00dv0srwbody2tp8c81,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6jkazm900el0srwc517daeacc1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6k8j4wm03dp0tpido7i5mntb0d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6l7b2rn09nf0spofs0236vtc5c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6lh8ypr0bbc0srxgkghbllj15e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6m0p48t00590srp1ltx3yeufff,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6mnn8xw000q0spi9n538q0cd55,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6mrkyf000in0ssl6f867vgibd4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6mtxe8g03hd0sr94mcpaxtvb34,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6mypiho0goj0soq1tmcdex75bd,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6q22sms09550spo53kw3drwbe6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6qbilu809c50srghwt362h5492,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6qjl8qu0ye90soq32m710k1b07,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6qmjiyk00z70sslah882esf35d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6rblslu005y0sslax9zgxd78cc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6rc67cq0h9c0spo1mc69354d66,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6rcedkh0b080soo6reldkqjaa3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6tqbm7l000m0rsd2uqz2v66725,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6u7v16d01nu0su4eyxdfs4k6e6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6wptlrh00c70sow0tqu55x8087,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm6z68rte0ani0sp9atw7fz7acdc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm71mqgcd0a9a0sqoerxmczab267,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cm72dcv6p01w70rq6a3lhaoaw145,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
